#,Name,Team,ESPN,Y!,$,$/G,G,PA,AB,R,H,HR,RBI,SB,CS,BB,SO,AVG,OBP,SLG,OPS,R%,RazzID
169,Brice Turang,MIL,2B,2B/SS,-11.6,10.4,5,23,21,1,5,1,4,0,0,2,9,0.238,0.304,0.429,0.733,100,668930
170,Endy Rodriguez,PIT,C/1B,C/1B,-11.6,5.2,5,17,13,1,4,1,2,0,0,4,4,0.308,0.471,0.538,1.009,20,682848
171,Alex Bregman,CHC,3B,3B,-11.8,-1.0,6,28,20,2,6,0,3,0,0,6,2,0.300,0.464,0.300,0.764,100,17678
172,Bryce Eldridge,SF,DH,1B,-12.1,7.6,5,22,19,1,5,1,3,0,0,3,2,0.263,0.364,0.421,0.785,99,805811
173,Miguel Rojas,LAD,2B/SS/ 3B,2B/SS/ 3B,-12.9,23.3,3,6,5,1,2,1,1,0,0,1,1,0.400,0.500,1.000,1.500,0,7802
174,Junior Perez,CHW,OF,OF,-12.9,52.5,2,5,5,1,2,1,1,0,1,0,1,0.400,0.400,1.000,1.400,0,678577
175,Randal Grichuk,CHW,OF,OF,-13.2,9.5,4,12,11,2,3,1,1,0,0,1,5,0.273,0.333,0.636,0.970,0,10243
176,Justin Dean,CHC,OF,OF,-13.5,131.0,1,2,2,1,1,0,3,0,0,0,0,0.500,0.500,1.500,2.000,0,681909
177,Cole Young,SEA,2B,2B,-13.7,-3.0,6,24,23,3,5,1,2,0,0,1,2,0.217,0.250,0.391,0.641,50,702284
178,Marcell Ozuna,PIT,DH,OF,-14.0,52.0,2,9,9,1,3,1,1,0,0,0,3,0.333,0.333,0.667,1.000,4,10324
179,Ryan Vilade,TB,1B/OF,1B/OF,-14.1,21.7,3,8,8,1,2,1,2,0,0,0,1,0.250,0.250,0.625,0.875,0,668723
180,Spencer Jones,NYY,OF,OF,-14.1,-0.4,5,17,13,3,2,1,2,0,0,4,6,0.154,0.353,0.462,0.814,43,682987
